#Table1
apogee_id,apstar_id,ra,dec,nvisits,starSNR,vscatter,verr,visit_id,vhelio,vrelerr,visitSNR,starflag,mjd
2M00020962+0055374,apogee.apo25m.stars.100-60.2M00020962+0055374,0.540108,0.927061,9,193.6493,0.5852777,0.03973144,apogee.apo25m.dr17.7494.56848.234,-0.8480092,0.03534782,51.5735,0,56848
2M00020962+0055374,apogee.apo25m.stars.100-60.2M00020962+0055374,0.540108,0.927061,9,193.6493,0.5852777,0.03973144,apogee.apo25m.dr17.7063.56666.217,-0.7074728,0.03858852,48.7556,0,56666
2M00020962+0055374,apogee.apo25m.stars.100-60.2M00020962+0055374,0.540108,0.927061,9,193.6493,0.5852777,0.03973144,apogee.apo25m.dr17.9243.57677.217,-1.805176,0.03502293,52.1077,0,57677
2M00020962+0055374,apogee.apo25m.stars.100-60.2M00020962+0055374,0.540108,0.927061,9,193.6493,0.5852777,0.03973144,apogee.apo25m.dr17.7062.56650.230,-0.5119397,0.03509298,53.5758,4,56650
2M00020962+0055374,apogee.apo25m.stars.100-60.2M00020962+0055374,0.540108,0.927061,9,193.6493,0.5852777,0.03973144,apogee.apo25m.dr17.9243.57654.217,-1.804297,0.04110244,43.6475,0,57654
2M00020962+0055374,apogee.apo25m.stars.100-60.2M00020962+0055374,0.540108,0.927061,9,193.6493,0.5852777,0.03973144,apogee.apo25m.dr17.7063.56644.186,-0.758098,0.04078835,45.1681,0,56644
2M00020962+0055374,apogee.apo25m.stars.100-60.2M00020962+0055374,0.540108,0.927061,9,193.6493,0.5852777,0.03973144,apogee.apo25m.dr17.7062.56646.230,-0.5871106,0.04214,45.3602,4,56646
2M00020962+0055374,apogee.apo25m.stars.100-60.2M00020962+0055374,0.540108,0.927061,9,193.6493,0.5852777,0.03973144,apogee.apo25m.dr17.7062.56635.215,-0.6051021,0.04722894,39.346,4,56635
2M00022269+6254032,apogee.apo25m.stars.116+00.2M00022269+6254032,0.594556,62.900902,15,831.5148,12.16753,0.9005369,apogee.apo25m.dr17.7543.56938.177,-12.02081,1.03715,138.496,1179648,56938
2M00022269+6254032,apogee.apo25m.stars.116+00.2M00022269+6254032,0.594556,62.900902,15,831.5148,12.16753,0.9005369,apogee.apo25m.dr17.7061.56590.123,-17.84713,0.9350238,170.906,1179648,56590
2M00022269+6254032,apogee.apo25m.stars.116+00.2M00022269+6254032,0.594556,62.900902,15,831.5148,12.16753,0.9005369,apogee.apo25m.dr17.7543.56944.261,-31.18815,0.7258,193.22,1179648,56944
2M00022269+6254032,apogee.apo25m.stars.116+00.2M00022269+6254032,0.594556,62.900902,15,831.5148,12.16753,0.9005369,apogee.apo25m.dr17.7792.57292.178,-42.19762,0.6993223,196.769,1179648,57292
2M00022269+6254032,apogee.apo25m.stars.116+00.2M00022269+6254032,0.594556,62.900902,15,831.5148,12.16753,0.9005369,apogee.apo25m.dr17.7543.56992.178,-43.71608,0.8446829,167.592,1179648,56992
2M00022269+6254032,apogee.apo25m.stars.116+00.2M00022269+6254032,0.594556,62.900902,15,831.5148,12.16753,0.9005369,apogee.apo25m.dr17.7061.56611.75,-21.85672,1.123028,139.782,1180160,56611
2M00022269+6254032,apogee.apo25m.stars.116+00.2M00022269+6254032,0.594556,62.900902,15,831.5148,12.16753,0.9005369,apogee.apo25m.dr17.7544.56939.177,-66.38308,2.830317,40.1035,131072,56939
2M00022269+6254032,apogee.apo25m.stars.116+00.2M00022269+6254032,0.594556,62.900902,15,831.5148,12.16753,0.9005369,apogee.apo25m.dr17.7061.56637.75,-42.16503,0.838394,184.227,1180160,56637
2M00022269+6254032,apogee.apo25m.stars.116+00.2M00022269+6254032,0.594556,62.900902,15,831.5148,12.16753,0.9005369,apogee.apo25m.dr17.7544.56997.178,-41.86099,2.156063,65.9547,1179648,56997
2M00022269+6254032,apogee.apo25m.stars.116+00.2M00022269+6254032,0.594556,62.900902,15,831.5148,12.16753,0.9005369,apogee.apo25m.dr17.7792.57265.177,-43.03799,0.7020997,198.358,1179648,57265
2M00022269+6254032,apogee.apo25m.stars.116+00.2M00022269+6254032,0.594556,62.900902,15,831.5148,12.16753,0.9005369,apogee.apo25m.dr17.7544.56999.178,-41.20398,0.8526965,166.431,1179648,56999
2M00022269+6254032,apogee.apo25m.stars.116+00.2M00022269+6254032,0.594556,62.900902,15,831.5148,12.16753,0.9005369,apogee.apo25m.dr17.7061.56636.75,-58.77031,1.437828,107.5,1180160,56636
2M00022269+6254032,apogee.apo25m.stars.116+00.2M00022269+6254032,0.594556,62.900902,15,831.5148,12.16753,0.9005369,apogee.apo25m.dr17.7544.56993.178,-40.77206,0.8683422,162.798,1179648,56993
2M00022269+6254032,apogee.apo25m.stars.116+00.2M00022269+6254032,0.594556,62.900902,15,831.5148,12.16753,0.9005369,apogee.apo25m.dr17.7792.57262.262,-46.44584,0.658562,207.997,1179648,57262
2M00022269+6254032,apogee.apo25m.stars.116+00.2M00022269+6254032,0.594556,62.900902,15,831.5148,12.16753,0.9005369,apogee.apo25m.dr17.7791.57269.177,-40.01401,0.9202682,149.142,1179648,57269
2M00022269+6254032,apogee.apo25m.stars.116+00.2M00022269+6254032,0.594556,62.900902,15,831.5148,12.16753,0.9005369,apogee.apo25m.dr17.7791.57264.262,-31.6888,0.7687669,179.32,1179648,57264
2M00022269+6254032,apogee.apo25m.stars.116+00.2M00022269+6254032,0.594556,62.900902,15,831.5148,12.16753,0.9005369,apogee.apo25m.dr17.7791.57267.177,-30.49104,1.637178,85.2352,1179648,57267
2M00022269+6254032,apogee.apo25m.stars.116+00.2M00022269+6254032,0.594556,62.900902,15,831.5148,12.16753,0.9005369,apogee.apo25m.dr17.7791.57260.261,-56.90084,1.207973,115.859,1179648,57260
2M00022269+6254032,apogee.apo25m.stars.116+00.2M00022269+6254032,0.594556,62.900902,15,831.5148,12.16753,0.9005369,apogee.apo25m.dr17.7791.56995.261,-41.33476,1.289311,103.495,1179648,56995
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.9069.57822.224,-20.85526,0.112696,110.71,8388612,57822
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.9264.59159.227,63.32929,0.3430506,37.1204,10485764,59159
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.9519.57760.224,55.63135,0.1276411,99.8771,10485764,57760
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.7950.59074.224,28.78158,0.2831969,40.8752,10485764,59074
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.9135.58295.233,-77.64339,0.1870587,66.4085,10485760,58295
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.9084.57556.224,63.25158,0.1863829,68.8924,2097156,57556
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.9519.57760.224,55.63135,0.1276411,99.8771,10485764,57760
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.7950.59074.224,28.78158,0.2831969,40.8752,10485764,59074
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.9069.57822.224,-20.85526,0.112696,110.71,8388612,57822
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.9264.59159.227,63.32929,0.3430506,37.1204,10485764,59159
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.9519.58028.221,65.91377,0.1801058,69.9121,10485760,58028
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.7951.59155.278,-51.08554,0.1019925,119.911,10485760,59155
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.9135.58295.233,-77.64339,0.1870587,66.4085,10485760,58295
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.5095.55821.233,-59.65164,0.114001,108.152,10485760,55821
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.9519.58028.221,65.91377,0.1801058,69.9121,10485760,58028
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.7951.59155.278,-51.08554,0.1019925,119.911,10485760,59155
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.9069.58150.224,-18.07355,0.1142672,108.628,8388612,58150
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.9519.58121.224,46.12798,0.165507,78.3035,10485764,58121
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.9519.58083.224,54.1347,0.1561489,81.3233,10485764,58083
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.9081.59147.236,-73.12641,0.6672587,17.2109,51380224,59147
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.9264.57709.227,-63.57555,0.2203173,55.6897,10485764,57709
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.9084.57556.224,63.25158,0.1863829,68.8924,2097156,57556
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.9519.58083.224,54.1347,0.1561489,81.3233,10485764,58083
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.9081.59147.236,-73.12641,0.6672587,17.2109,51380224,59147
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.9069.58150.224,-18.07355,0.1142672,108.628,8388612,58150
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.9519.58121.224,46.12798,0.165507,78.3035,10485764,58121
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.9519.57736.218,-4.322839,0.1054139,114.399,4,57736
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.9082.57789.218,58.40916,0.1173724,108.084,10485760,57789
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.9264.57709.227,-63.57555,0.2203173,55.6897,10485764,57709
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.7950.57295.224,-4.886881,0.1040412,116.102,8388612,57295
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.9519.57736.218,-4.322839,0.1054139,114.399,4,57736
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.9082.57789.218,58.40916,0.1173724,108.084,10485760,57789
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.9264.58009.218,61.13975,0.09563958,132.304,10485764,58009
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.5095.55821.233,-59.65164,0.114001,108.152,10485760,55821
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.9264.58009.218,61.13975,0.09563958,132.304,10485764,58009
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.9083.57887.275,35.47647,0.1919774,62.5387,10485764,57887
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.9264.58054.224,35.3791,0.1299263,94.9803,10485764,58054
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.7950.57295.224,-4.886881,0.1040412,116.102,8388612,57295
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.9264.58054.224,35.3791,0.1299263,94.9803,10485764,58054
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.9083.57887.275,35.47647,0.1919774,62.5387,10485764,57887
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.9264.59059.221,63.41895,0.2217543,57.1507,10485764,59059
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.5095.55824.230,65.48959,0.196021,63.0203,10485760,55824
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.9264.59059.221,63.41895,0.2217543,57.1507,10485764,59059
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.7950.58060.224,62.00765,0.1129634,110.702,10485760,58060
2M00023036+8524194,apogee.apo25m.stars.N188-RV.2M00023036+8524194,0.626517,85.405411,13,475.8425,42.22197,0.1344381,apogee.apo25m.dr17.9264.57672.224,53.34783,0.1047212,119.476,10485764,57672
2M00023036+8524194,apogee.apo25m.stars.N188.2M00023036+8524194,0.626517,85.405411,15,511.5603,53.33531,0.1302661,apogee.apo25m.dr17.5095.55824.230,65.48959,0.196021,63.0203,10485760,55824
